setup,volatility_regime,total_trades,wins,losses,win_rate,avg_r_multiple,total_net_r,tier_1_pct,tier_2_pct,avg_forecast_vol
Tier 1,LOW,7,4,3,57.14285714285714,0.39999999999999997,2.8,0.0,0.0,0.007948428571428573
Tier 2,LOW,5,5,0,100.0,1.3599999999999999,6.8,0.0,0.0,0.0056438
